chengyu	pingyin	jieshi	chuchu	lizi
优游自得	yōu yóu zì dé	指悠闲如意。	汉·班固《东都赋》莫不优游而自得，玉润而金声。	吾丈～，心恬体舒，必享龟鹤之寿。★宋·苏轼《答杨君素书》
优游自如	yōu yóu zì rú	①悠闲适意，无拘无束。②犹言从容不迫。	明·彭时《彭文宪笔记》然职清务简，优游自如，世谓之玉堂仙。	熟炼的纺手，趁着一豆灯光或者朦胧的月光，也能摇车，抽线，上线，一切做得～。★吴伯箫《北极星·记一辆纺车》
优游自在	yōu yóu zì zài	指悠闲舒适。	清·李宝嘉《官场现形记》第十二回太平无事，尚可优游自在，一旦有警，早已吓得意乱心慌，等到上头派了下来，更把他急的走头无路。	无
优游涵泳	yōu yóu hán yǒng	指从容求索，深入体会。	无	无
优游岁月	yōu yóu suì yuè	悠闲舒适地过日子。	茅盾《子夜》四可惜他这位儿子虽名为‘家驹’，实在还比不上一条‘家狗’，因此早该是退休享福的曾沧海却还不能优游岁月，甚至柴米油盐等等琐细，都得他老人家操一份心。	无
优游卒岁	yōu yóu zú suì	悠闲度日。	《诗经·小雅·采菽》优哉游哉，聊以卒岁。	无
优游不断	yōu yóu bù duàn	指处世迟疑，没有决断。	《汉书·元帝纪赞》牵制文义，优游不断。	无
优柔餍饫	yōu róu yàn yù	比喻为学之从容求索，深入体味。亦作优柔厌饫”。	语出晋·杜预《〈春秋左传集解〉序》优而柔之，使自求之；餍而饫之，使自趋之。	如此然后求诸四君子之全书，沉潜反覆，～，以致其博而反诸约焉。★清·戴名世《〈四书朱子大全〉序》
优柔寡断	yōu róu guǎ duàn	优柔犹豫不决；寡少。指做事犹豫，缺乏决断。	《韩非子·亡征》缓心而无成，柔茹而寡断，好恶无决，而无所定立者，可亡也。	他做什么事都没有主见，是一个～的人。
优柔厌饫	yōu róu yàn yù	比喻为学之从容求索，深入体味。同优柔餍饫”	明·宋濂《故东吴先生吴公墓碣铭》遐尔学徒，争奔走其门，先生随其资器，孳孳训迪，必使优柔厌饫而后已。	无
优昙一现	yōu tán yī xiàn	优昙钵花如莲花十二瓣，一开即敛。比喻事物或景象稍现即逝，难得见到。	语出《法华经·方便品》佛告舍利弗，如是妙法，诸佛如来时乃说之，如优昙钵花时一现耳。	遂推为两京法主，三帝国师，仰佛日之再中，庆～。★唐·张说《唐玉泉寺大通禅师碑》
优孟衣冠	yōu mèng yī guān	优孟春秋时楚国著名的的演杂戏的人，擅长滑稽讽谏。比喻假扮古人或模仿他人。也指登场演戏。	《史记·滑稽列传》记载楚相孙叔敖死后，儿子很穷。优孟穿戴了孙叔敖的衣冠去见楚庄王。楚庄五受到感动，封了孙叔敖的儿子。	无
优哉游哉	yōu zāi yóu zāi	指生活悠闲自在。	《诗经·小雅·采菽》优哉游哉，亦是戾矣。	无
众难群移	zhòng nán qún yí	众人心中都有疑难。	三国蜀·诸葛亮《后出师表》群疑满腹，众难塞胸。	无
众难群疑	zhòng nán qún yí	众人心中都有疑难。	三国·蜀·诸葛亮《后出师表》群疑满腹，众难塞胸。	～曰‘是必有强国焉阴助之耳；不然，倭乌能如是！’★清·严复《原强续篇》
众醉独醒	zhòng zuì dú xǐng	比喻众人沉迷糊涂，独自保持清醒。	战国楚·屈原《渔父》屈原曰‘举世皆浊而我独清，众人皆醉而我独醒，是以见放。’	无
众说纷纭	zhòng shuō fēn yún	纷纭多而姑乱。人多嘴杂，议论纷纷。	清·蒲松龄《聊斋志异·阿纤》君无二心，妾岂不知？但众口纷纭，恐不免秋扇之捐。	无
众说纷揉	zhòng shuō fēn róu	各种说法纷乱而混杂。形容有各种各样的议论。	宋·司马光《进交趾献奇兽赋表》麟，瑞兽也，旷世而不可睹，其于经有名而无形，传记有形，而去圣久远。纵说纷揉，自非圣人，莫能识其真。	无
众议成林	zhòng yì chéng lín	指众人的议论可使人相信平地上出现森林。比喻流言多可以乱真。	《淮南子·说山训》众议成林，无翼而飞。”高诱注众人皆议平地生林，无翼之禽能飞，凡人信之以为实然也。	无
众虎同心	zhòng hǔ tóng xīn	许多虎一条心做事。比喻众多有本事的人团结一致，力量会更大。	明·施耐庵《水浒传》第五十七回三山聚义打青州，众虎同心归水泊。	无
众矢之的	zhòng shǐ zhī dì	矢箭；的箭靶的中心。众箭所射的靶子。比喻大家攻击的对象。	《鲁迅书信集·致许寿裳》语堂为提倡语录体，在此几成众矢之的。	无
众盲摸象	zhòng máng mō xiàng	许多瞎子摸象，摸到象腿的说象一根柱子，摸到象身子的说象一堵墙，摸到象尾的说象一条蛇，互相争论不休。比喻看问题以偏概全。	《大般涅槃经》三二其触牙者即言象形如芦菔根，其触耳者言象如箕，其触头者言象如石，其触鼻者言象如杵，其触脚者言象如木臼，其触脊者言象如床，其触腹者言象如畒，其触尾者言象如绳。	少林冷坐，门人各说异端，大似～。★宋·普济《五灯会元》卷十八
众目睽睽	zhòng mù kuí kuí	睽睽张目注视的样子。许多人争着眼睛看着。指在广大群众注视之下。	唐·韩愈《郓州溪堂诗并序》公私扫地赤立，新旧不相保持，万目睽睽，公于此时能安以治之。	～之下，拿他调到一边咬耳朵，人家心里会怎么想？★高阳《清宫外史》下册
众目昭彰	zhòng mù zhāo zhāng	昭彰明显。大家都看得很清楚。	明·凌濛初《初刻拍案惊奇》卷十五在你家里搜出人腿来，众目昭彰，一传出去，不到得轻放过了你。	这事～，你不必强词夺理了。
众目具瞻	zhòng mù jù zhān	所有人的眼睛都看到了。形容非常明显。同众目共睹”。	朱自清《海阔天空”与古今中外”》况内地更有好处，为五方杂处，众目具瞻的上海等处所不及的；如花木的趣味，盆栽的趣味便是。	无
众目共视	zhòng mù gòng shì	所有人的眼睛都看到了。形容非常明显。同众目共睹”。	宋·欧阳修《论台谏官唐介等宜早牵复札子》言一出则万口争传，众目共视，虽欲为私，其势不可。	无
众目共睹	zhòng mù gòng dǔ	所有人的眼睛都看到了。形容非常明显。亦作众目共视”、众目具瞻”。	宋·何尚之《答宋文帝赞扬佛教事》且观世大士所降近验，并即表身世，众目共睹，祈求之家，其事相继。	无
众犬吠声	zhòng quǎn fèi shēng	比喻随声附和。	汉·应劭《风俗通·怪神·李君神》众犬吠声，因盲者得视，远近翕赫，其下车骑常数千百，酒肉滂沲。	无
众流归海	zhòng liú guī hǎi	大小河流同归于海。比喻众多分散的事物汇集于一处。	唐·杜甫《长江》诗之二众流归海意，万国奉君心。	怎当得丁生连掷胜采，两人出注，正如～，尽数赶在丁生处了。★明·凌濛初《二刻拍案惊奇》卷八
众毛飞骨	zhòng máo fēi gǔ	指众多轻物能掀起重物。	唐·李白《雪谗诗赠友人》群轻折轴，下沉黄泉；众毛飞骨，上凌青天。	无
众毛攒裘	zhòng máo cuán qiú	攒聚；裘皮衣。聚集许多小块皮毛，能够缝成一件皮衣。比喻积少成多。	明·吴承恩《西游记》第六十九回常言道‘众毛攒裘。’	无
众毁销骨	zhòng huǐ xiāo gǔ	指众多的毁谤，可以销熔人的骨骼。比喻谗言多可以混淆是非。	宋·李纲《宫词谢表》众毁销骨，虽贻投抒之嗟；太阳中天，必冀容光之照。	无
众楚群咻	zhòng chǔ qún xiū	指众多的楚国人共同来喧扰◇指众多外来的干扰。	语出《孟子·滕文公下》一齐人傅之，众楚人咻之，虽日挞而求其齐也，不可得矣。	百工居肆欲其专也；～，喻其散也。★清·李渔《闲情偶寄·词曲·词采》
众望攸归	zhòng wàng yōu guī	众人所期望和敬仰的。形容在群众中威望很高。	《晋书·解系阎鼎等传论》于是武皇之胤，惟有建兴，众望攸归，曾无与二。	无
众望所归	zhòng wàng suǒ guī	众望众人的希望；归归向。大家一致期望的。指得到群众的信任。	《晋书·列传三十传论》于是武皇之胤，惟有建兴，众望攸归，曾无与二。”宋·陈亮《复陆伯寿》舍试揭榜，伏承遂释褐于崇化堂前，众望所归，此选增重，凡在友朋之列者，意气为之光鲜。	他非去不可！～，还有什么可说的呢？★老舍《四世同堂》三十五
众星环极	zhòng xīng huán jí	比喻众物围绕一物或众人拥戴一人。	《论语·为政》譬如北辰，居其所而众星共之。”北辰，北极星。共，拱”的古字，环绕『·张衡《西京赋》譬如星之环极，叛赫戏以辉煌。	无
众星攒月	zhòng xīng cuán yuè	许多星星聚集、环绕着月亮。比喻众人拥戴一人或众物围绕一物。	《五灯会元·清凉益禅师法嗣·黄山良匡禅师》问‘众星攒月时如何？’师曰‘唤甚么作月？’	无
众星捧月	zhòng xīng pěng yuè	许多星星衬托着月亮。比喻众人拥护着一个他们所尊敬爱戴的人。	《论语·为政》为致以德，譬如北辰，居其所而众星共之。	乘着这个改朝换代的时机，咱们得～，把他抬出去！★老舍《四世同堂》七
众星拱极	zhòng xīng gǒng jí	比喻众物围绕一物或众人拥戴一人。同众星环极”。	《魏书·卢水胡沮渠蒙逊传》有土者莫不跨峙一隅，有民者莫不荣其私号，不遵众星拱极之道，不慕细流归海之义。	俾来四海之朝宗，尽类众星而拱极。★南唐·刘崇远《宴石山记》
众星拱月	zhòng xīng gǒng yuè	许多星星聚集、环绕着月亮。比喻众人拥戴一人或众物围绕一物。同众星攒月”。	徐迟《搜尽奇峰打草稿》而在那个主要工程的位置上，则缀有一颗大红宝石。在它的周围又加众星拱月，环绕着好些较小的红宝石。	像～似的，学生们围在老教授身边，肩膀靠着肩膀，胳膊挽着胳膊。★碧野《报晓峰》
众星拱北	zhòng xīng gǒng běi	拱环绕，拱卫；北指北极星。天上众星拱卫北辰。旧指有德的国君在位，得到天下臣民的拥戴。	《论语·为政》为致以德，譬如北辰，居其所而众星共之。	恰便似～，万水朝东。★元·王实甫《丽春堂》第一折
众擎易举	zhòng qíng yì jǔ	擎往上托。许多人一齐用力，容易把东西举起来。比喻大家同心协力就容易把事情办成。	明·张岱《募修岳鄂王祠姆疏》盖众擎易举，独力难支。	现在我们大家替他打算，～，已有个成数了，不日便可奉请开复。★清·文康《儿女英雄传》第十三回
众所周知	zhòng suǒ zhōu zhī	大家普遍知道的。	《玉娇梨》第二十回城中宣杂难住，莫苦就在众所周知石村卜一居，与白公为邻。	这种小说的生产，～，主要是为了爆炸”，所以他特别注意的是政治上的应时。★孙犁《文林谈屑（一）·运动文学与揣摩小说》
众所共知	zhòng suǒ gòng zhī	众很多人。大家普遍知道的。	宋·朱熹《朱子语类·大学三》虽十目视十手指众所共知之处，亦自七颠八倒了，更如何地谨独。	子声望～，我素识苗甚平善，何敢占骗。★清·蒲松龄《聊斋志异·刘姓》
众怨之的	zhòng yuàn zhī dì	众人怨恨的目标。	清·吴研人《二十年目睹之怪现状》第十一回可见得我们就这大关的事不是好事，我这当督检的，还是众怨之的呢。	无
众怒难犯	zhòng nù nán fàn	犯触犯、冒犯。群众的愤怒不可触犯。表示不可以做群众不满意的事情。	《左传·襄公十年》众怒难犯，专欲难成，合二难以安国，危之道也。	你们来意甚善，只是～，赶快去吧。★清·刘鹗《老残游记》第一回
众怒难任	zhòng nù nán rèn	指众人的愤怒难以抵当。	唐·陆贽《奉天请罢琼林大盈二库状》众怒难任，蓄怨终泄。	无
众志成城	zhòng zhì chéng chéng	万众一心，象坚固的城墙一样不可摧毁。比喻团结一致，力量无比强大。	《国语·周语下》众心成城，众口铄金。	段祺瑞既得国务员同情，便以为～，正可一战。★蔡东藩、许廑父《民国通俗演义》第八十八回
众心成城	zhòng xīn chéng chéng	指万众一心，如坚固城堡。比喻众人团结一致，力量无比强大。	《国语·周语下》众心成城，众口铄金。”韦昭注众心所好，莫之能败，其固如城也。	～，俗说曰众人同心者，可共筑起一城，同心共饮，雒阳酒可尽也。★《艺文类聚》卷六三引汉·应劭《风俗通》
众心如城	zhòng xīn rú chéng	万众一心，象坚固的城墙一样不可摧毁。比喻团结一致，力量无比强大。	《国语·周语下》众心成城，众口铄金。	弘誓既远，昏疑皆破，故～，施者成市。★唐·独孤及《洪州大云寺钟铭》
众川赴海	zhòng chuān fù hǎi	众多的河流都奔赴大海。比喻众多的力量汇集在一起。	《隋书·音乐志中》天覆地载，成以四时。惟皇是则，比大于兹。群星拱极，众川赴海。万宇骏奔, 一朝咸在。	无
众少成多	zhòng shǎo chéng duō	犹积少成多。指只要不断积累，就会从少变多。	《汉书·董仲舒传》众少成多，积小致钜。	无
众寡悬绝	zhòng guǎ xuán jué	双方人力多少相差极大。	梁启超《匈加利爱国者噶苏士传》第十节布打城既克复，奥俄军奋战益力，众寡悬绝……此匈加利千钧一发之时也。	无
众寡悬殊	zhòng guǎ xuán shū	形容双方人力的多少相差极大。	茅盾《一个女性》琼华不能再笑了，在众寡悬殊的形势下，她有些可怜这位被呼为‘遗产’的少年了。	无
众寡势殊	zhòng guǎ shì shū	众多；寡少。形容双方人力的多少相差极大。	晋·桓冲《上言吉挹忠节》襄阳失守，边情沮丧，加众寡势殊，以至陷没。	无
众寡不敌	zhòng guǎ bù dí	众多；寡少；敌抵挡。少数敌不过多数。	唐·孙揆《灵应传》众寡不敌，三战三北。	群众是浮躁，急不可待的。忍耐不过，～，自难免日久变生，越发不可收拾。★鲁迅《两地书·二一》
众好众恶	zhòng hào zhòng wù	众人喜爱或众人厌恶。	《论语·卫灵公》子曰‘众恶之，必察焉；众好之，必察焉。’	无
众多非一	zhòng duō fēi yī	指类别甚多，不止一种。	汉·王充《论衡·别通》孔子道美，故譬以宗庙，众多非一，故喻以百官。	无
众喣飘山	zhòng xǔ piāo shān	众人吹气，可以移山。比喻人多力量大。同众喣漂山”。	《后汉书·第五伦传》众喣飘山，聚蚊成雷，盖骄佚所从生也。	无
众喣漂山	zhòng xǔ piāo shān	喣吹气。许多人吹气，能使山漂走。比喻说坏话的人多了，能使人受到很大的损害。也比喻人多力量大。	《汉书·中山靖王胜传》夫众喣漂山，聚蚊成雷。	～不易安，势张那复抚狂澜。★元·王恽《秋涧全集·哀挽亡友中丞王兄五首》
众喣山动	zhòng xǔ shān dòng	众人吹气，可以移山。比喻人多力量大。同众喣漂山”。	明·李东阳《余肃敏公传》役未及兴，而众喣山动。	无
众啄同音	zhòng zhòu tóng yīn	犹众口一词。所有的人都说同样的话。	《五四”爱国运动资料·上海罢市救亡史》和会方开，公论犹在。青岛归我，众啄同音。	无
众口难调	zhòng kǒu nán tiáo	原意是各人的口味不同，很难做出一种饭菜使所有的人都感到好吃。比喻做事很难让所有的人都满意。	宋·欧阳修《归田录》卷一补仲山之衮，虽曲尽于巧心；和傅说之羹，实难调于众口。	无
众口销金	zhòng kǒu xiāo jīn	众人的言论能够熔化金属。比喻舆论影响的强大。亦喻众口同声可混淆视听。见众口铄金”。	汉·焦赣《易林·萃之巽》众口销金，愆言不验。	无
众口铄金	zhòng kǒu shuò jīn	铄熔化。形容舆论力量大，连金属都能熔化。比喻众口一词可以混淆是非。	《国语·周语下》众心成城，众口铄金。	群言淆乱，异说争鸣；～，积非成是。★鲁迅《三闲集·述香港恭祝圣诞》
众口纷纭	zhòng kǒu fēn yún	纷纭多而姑乱。人多嘴杂，议论纷纷。	清·蒲松龄《聊斋志异·阿纤》君无二心，妾岂不知？但众口纷纭，恐不免秋扇之捐。	无
众口相传	zhòng kǒu xiāng chuán	众人辗转述说。见众口交传”。	黄仁宇《万历十五年》礼部的调查毫无结果，于是只能回奏当时众口相传，首先讹传者无法查明。	无
众口熏天	zhòng kǒu xūn tiān	指群言可以动天。比喻舆论力量大。	《吕氏春秋·离谓》毁誉成党，众口熏天。	无
众口如一	zhòng kǒu rú yī	许多人都说同样的话，看法或意见一致。同众口一辞”。	明·沈德符《野获编·吏部一·都给事升转》而谓科臣但当内擢，其最不肖者间出一二人于外，则众口如一。	无
众口嗷嗷	zhòng kǒu áo áo	嗷嗷哀号声。形容人们因饥饿而嗷嗷哀号。	元·秦简夫《赵礼让肥》第二折说什么贫不忧愁富不骄，赤紧的众口嗷嗷。	无
众口同声	zhòng kǒu tóng shēng	大家所说的都一样。	无	大家～地称赞她献身于教育事业的精神。
众口交赞	zhòng kǒu jiāo zàn	众人交相赞美。	清·文康《儿女英雄传》第三十九回列公，你看只一个长姐儿，也会闹得这等千里逢迎，众口交赞，可见‘声气’这途也不可不走的。	无
众口交詈	zhòng kǒu jiāo lì	众人一致责骂。	清·夏燮《中西纪事·海疆殉难记上》牛督拥兵护逃，众口交詈。	无
众口交传	zhòng kǒu jiāo chuán	众人辗转述说。	清·陈天华《警世钟》就是不幸受伤身死，众口交传，全国哀痛，还要铸几个铜像，立几个石碑，万古流芳，永垂不朽。	无
众口一辞	zhòng kǒu yī cí	许多人都说同样的话，看法或意见一致。	宋·欧阳修《濮议》卷四众口一辞，纷然不止。	田汉同志的《关汉卿》是一出好戏，思想性和艺术性都很强烈，这一点几乎是～。★夏衍《读〈关汉卿〉杂谈历史剧》
众口一词	zhòng kǒu yī cí	所有的人都说同样的话。	宋·欧阳修《论议濮安懿王典礼札子》众口一辞（词），纷然不正。	适才仇老所言姻事，～，此美事也，有何不可？★明·凌濛初《初刻拍案惊奇》卷二十四
众叛亲离	zhòng pàn qīn lí	叛背叛；离离开。众人反对，亲人背离。形容完全孤立。	《左传·隐公四年》阻兵无众，安忍无亲，众叛亲离，难以济矣。	他坚持与人民为敌，以至～，死无葬身之地。
众人拾柴火焰高	zhòng rén shí chái huǒ yàn gāo	比喻人多力量大。	无	无
众人广坐	zhòng rén guǎng zuò	犹大庭广众。人多而公开的场合。	《史记·魏公子列传》嬴乃夷门抱关者也，而公子亲枉车骑，自迎嬴于众人广坐之中，不宜有所过。	无
众人国士	zhòng rén guó shì	众人普通人；国士国中杰出的人物。指一般人和国中杰出的人才。	《战国策·赵策一》臣事范中行氏，范中行氏以众人遇臣，臣故众人报之；知伯以国士遇臣，臣故国士报之。	岂不闻豫让～”之论乎？刘玄德待云长不过恩厚耳。★明·罗贯中《三国演义》第二十五回
休牛散马	xiū niú sàn mǎ	放归军用的牛马，表示停止战事。	唐·魏徵寿《隋书·薛道衡传》于是八荒无外，九服大同，四海为家，万里为宅。乃休牛散马，偃武修文。	无
休牛归马	xiū niú guī mǎ	放归军用的牛马，表示停止战事。	语出《书·武成》乃偃武修文，归马于华山之阳，放牛于桃林之野，示天下书弗服。”《隋书·薛道衡传》于是八荒无外，九服大同，四海为家，万里为宅。乃休牛散马，偃武修文。	岂直～，但美于偃兵，保大定功，空歌于成德者哉！★宋·卢多逊《新修周武王庙碑》
休明盛世	xiū míng shèng shì	休明美好，清平；盛兴旺；世世代。美好清平的兴盛时代。	晋·潘岳《西征赋》当休明之盛世，托菲薄之陋质。	无
休戚相关	xiū qī xiāng guān	休欢乐，吉庆；戚悲哀，忧愁。忧喜、福祸彼此相关联。形容关系密切，利害相关。	《国语·周语下》晋国有忧，未尝不戚，有庆，未尝不怡。……为晋休戚，不背本也。	岂可委之荒野，任凭暴露，全无一点～之意。★元·石君宝《曲江池》第四折
休戚与共	xiū qī yǔ gòng	忧喜、福祸彼此共同承担。形容关系密切，利害相同。	《晋书·王导传》吾与元规休戚是同，悠悠之谈，宜绝智者之口。	我们是～的好同学。
休声美誉	xiū shēng měi yù	休美好。美好的声誉。	明·罗贯中《三国演义》第四回陈留王协，圣德伟懋，规矩肃然；居丧哀戚，言不以邪；休声美誉，天下所闻；宜承洪业，为万世统。	无
休养生息	xiū yǎng shēng xī	休养何处保养；生息人口繁殖。指在战争或社会大动荡之后，减轻人民负担，安定生活，恢复元气。	唐·韩愈《平淮西碑》高宗中睿，休养生息。	许其修睦，因以罢兵，庶几～，各正性命，仰合于天心。★清·毕沅《续资治通鉴·宋纪高宗绍兴十年》
休兵罢战	xiū bīng bà zhàn	休、罢停止。停止或结束战争。	元·孔文卿《东窗事犯》楔子只不过休兵罢战还朝呵，是我暗暗地自思寻。	无
休休有容	xiū xiū yǒu róng	形容君子宽容而有气量。	《书·秦誓》其心休休焉，其如有容。	无
伐罪吊民	fá zuì diào mín	伐讨伐。吊慰问。讨伐有罪，拯救百姓。常用以作为发动战争的口号。	南朝（梁）任方《百辟劝进今上笺》伐罪吊民，一匡靖乱。	无
伐罪吊人	fá zuì diào rén	讨伐有罪，拯救百姓。常用以作为发动战争的口号。人”当作民”，因避太宗讳改。同伐罪吊民”。	《南史·檀道济传》道济曰‘伐罪吊人，正在今日。’皆释而遣之。	无
伐毛洗髓	fá máo xǐ suǐ	刮去毛发，洗清骨髓。比喻彻底清除自身的污秽。	汉·郭宪《东方朔传》吾却食吞气，已九千余年，目中童子，皆有青光，能见幽隐之物，三千年一返骨洗髓，二千年一剥皮伐毛，吾生来已三洗髓五伐毛矣。	如要去掉他这劣根性，竟非大大的～，拿他重新做个人不成。★《晚清文学丛钞·中国现在记》第三回
伐毛换髓	fá máo huàn suǐ	削去旧的毛发，换去旧的骨髓。比喻彻底改变原来的面貌。	明·梅鼎祚《昆仑奴》第四折你此去伐毛换髓，变姓逃形，我何处会得你着。	无
伐性之斧	fá xìng zhī fǔ	伐砍伐；性性命，生机。砍毁人性的斧头。比喻桅身心的事物。	《吕氏春秋·本性》靡曼皓齿，郑卫之音，务以自乐，命之曰伐性之斧。	旧社会，烟馆赌局到处都是，在这些～下丧生的大有人在。
伐异党同	fá yì dǎng tóng	伐讨伐，攻击。指结帮分派，偏向同伙，打击不同意见的人。	《后汉书·党锢传序》自武帝以后，崇尚儒学，怀经协术，所在雾会。至有石渠分争之论，党同伐异之说。	给事中李成名复劾焕～，焕遂称疾笃，坚不起。★《明史·赵焕传》
伐功矜能	fá gōng jīn néng	伐、矜夸耀。指吹嘘自己的功劳和才能。形容居高自大，恃才傲物。	《史记·太史公自序》奉法循理之吏，不伐功矜能，百姓无称，亦无过行。	无
伐冰之家	fá bīng zhī jiā	伐冰，凿取冰塳。古代唯有卿大夫以上的贵族丧祭得以用冰，用以称达官贵族。	《礼记·大学》伐冰之家，不畜牛羊。”郑玄注卿大夫以上丧祭用冰。	珍羞百品，同～。★《梁书·武帝纪上》
伏龙凤雏	fú lóng fèng chú	伏龙（卧龙）诸葛孔明。凤雏庞士元。两人都是汉末三国时期著名的谋略家，军事家◇指隐而未现的有较高学问和能耐的人。	《三国志·蜀志·诸葛亮传》裴松之注引《襄阳记》刘备访世事于司马德操。德操曰‘儒生俗士，岂识时务？识时务者在乎俊杰。此间自有伏龙、凤雏。’备问为谁，曰‘诸葛孔明、庞士元也。’	无
伏首贴耳	fú shǒu tiē ěr	畏缩恐惧的样子。	清·蒲松龄《聊斋志异·马介甫》万石不言，惟伏首贴耳而泣。	无
伏虎降龙	fú hǔ xiáng lóng	伏屈服；降用用威力使屈服。用威力使猛虎和恶龙屈服。形容力量强大，能战胜一切敌人和困难。	清·吴璿《飞龙全传》第二回岂不知俺赵匡胤是个打光棍的行手，凭你什么三头六臂，伏虎降龙的手段，若遇了俺时，须叫他走了进来，爬了出去。	无
伏而唂天	fú ér shì tiān	?以舌舔物。伏地以舌舔天。比喻所行与所求不一致，无法达到目的。	《荀子·仲尼》辟之是犹伏而唂天，救经而引其足也。	无
伏法受诛	fú fǎ shòu zhū	伏法由于违法而受处死刑；诛杀死。犯法被杀。	汉·司马迁《报任少卿书》假令仆伏法受诛，若九牛一毛，与蝼蚁何以异？	无
伏地圣人	fú dì shèng rén	指在某一方面略有知识就逞能的人。	无	无
伏低做小	fú dī zuò xiǎo	形容低声下气，巴结奉承。	明·罗贯中《三国演义》第六十回若召到蜀中，以部曲待之，刘备安肯伏低做小？若以客礼待之，又一国不容二主。	无
伊何底止	yī hé dǐ zhǐ	不知将弄到什么地步为止，不堪设想的意思。同伊于胡底”。	鲁迅《〈朝花夕拾〉后记》起观斯世之忍心害理，几全如陈叔宝之无心肝。长此滔滔，伊何底止？	无
伊于胡底	yī yú hú dǐ	伊句首助词；于到；胡何，哪；底尽头。到什么地步为止（对不好的现象表示感叹）。	《诗经·小雅·小昮》我视谋犹，伊于胡底？	无
伉俪情深	kàng lì qíng shēn	伉俪夫妻，配偶。夫妻之间的感情深厚。	明·沈得符《万历野获编》盖圣德仁厚，加以中宫前后同忧患者积年，伉俪情更加笃挚。	纵使你～，一时未忍，久后这中馈乏人，总不是事。★清·吴趼人《二十年目睹之怪现状》第七十回
伈伈睍睍	xǐn xǐn xiàn xiàn	伈伈小心恐惧的样子。睍睍也作伣伣”，眼睛不敢睁大的样子。小心害怕或低声下气的样子。	唐·韩愈《祭鳄鱼文》刺史虽驽弱，亦安肯为鳄鱼低首下心，伈伈睍睍，为民吏羞，以偷活于此耶?”《明史·邹智传》及与议事，又唯诺惟谨，伈伈伣伣，若有所不敢，反不如一二俗吏足以任事。此陛下所为疑也，臣窃以为过矣。	无
企踵可待	qǐ zhǒng kě dài	比喻很快就可以等到。	无	无
仿徨失措	báng huáng shī cuò	指心神不宁，举动失常。	无	当他听到这个不利的消息后，显得～。
任重道远	rèn zhòng dào yuǎn	任负担；道路途。担子很重，路很远。比喻责任重大，要经历长期的奋斗。	《论语·泰伯》士不可以不弘毅，任重而道远。仁以为己任，不亦重乎？死而后已，不亦远乎？	人民教师肩负着培养祖国建设接班人的重担，～。
任重道悠	rèn zhòng dào yōu	比喻责任重大，要经历长期的奋斗。同任重道远”。	《后汉书·皇后纪序》任重道悠，利深祸速。	功大力薄，～，徒怀寸心，行将白首。★宋·司马光《谢赐资治通鉴序表》
任重致远	rèn zhòng zhì yuǎn	指负载沉重而能到达远方◇比喻抱负远大，能闯出新的前景，做出宏伟的业绩。	《周易·系辞下》服牛乘马，引重致远。	大王要～，就得虚心自慝，多隐藏一些才是。★曹禺《胆剑篇》第二幕
任重至远	rèn zhòng zhì yuǎn	愿意指负载沉重而可以到达远方◇比喻抱负远大，能闯出新的天地，做出宏伟的业绩。	《易·击辞下》服牛乘马，引重致远。	无
任重才轻	rèn zhòng cái qīng	责任重大，才能薄弱。表示力不胜任。常作谦词。	三国蜀·诸葛亮《与参军掾属教》任重才轻，故多阙漏。	无
任达不拘	rèn láo bù jū	任性放纵，不受礼法拘束。	《晋书·阮咸传》咸任达不拘，与叔父籍为竹林之游，当世礼法者讥其所为。	无
任贤使能	rèn xián shǐ néng	任用有德行有才能的人。	《荀子·王制》欲立功名，则莫若尚贤使能矣。”汉·王充《论衡·自然》舜、禹承安继治，任贤使能，恭己无为而天下治。	吴主浮江万艘，带甲百万，～，志存经略。★明·罗贯中《三国演义》第八十二回
任怨任劳	rèn yuàn rèn láo	任担当，经受。不怕招怨，也不怕吃苦。同任劳任怨”。	汉·桓宽《盐铁论·刺权》夫食万人之力者，蒙其忧，任其怨劳。”《汉书·石显传》诚不能以一躯称快万众，任天下之怨。	正是国家隆重之典，仕路清浊之源，非徒～，还要其难其慎。★清·李渔《怜香伴·搜挟》
任劳任怨	rèn láo rèn yuàn	任担当，经受。不怕吃苦，也不怕招怨。	汉·桓宽《盐铁论·刺权》夫食万人之力者，蒙其忧，任其怨劳。”《汉书·石显传》诚不能以一躯称快万众，任天下之怨。	而杨嗣昌也完全执行他的主张，～。★姚雪垠《李自成》第二卷第十九章
任凭风浪起，稳坐钓鱼船	rèn píng fēng làng qǐ，wěn zuò diào yú chuán	比喻随便遇到什么险恶的情况，都信心十足，毫不动摇。	毛泽东《在中国共产党第八届中央委员会第二次全体会议上的讲话》四我们有在不同革命时期经过考验的这样一套干部，就可以‘任凭风浪起，稳坐钓鱼船’。要有这个信心。	无
任其自然	rèn qí zì rán	任听任；其代词，他，它。听任人或事物自然发展。	宋·周密《齐东野语》卷七大要在固脏气之外，任其自然耳。	倘若有了开始，以后什么都可以～了。★叶圣陶《归宿》
任其自流	rèn qí zì liú	指不加约束、引导，听任自由发展。	《淮南子·修务训》听其自流，待其自生，则鲧禹之功不立，而后稷之智不用。	无
任人唯贤	rèn rén wéi xián	贤有德有才的人。指用人只选有德有才的人。	《尚书·咸有一德》任官惟贤才，左右惟其人。	盐干部应当是～。
